#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCG2	CCND1	9606.ENSP00000237612	9606.ENSP00000227507	0	0	0	0	0	0	0	0.469	0.469
ABCG2	GAPDH	9606.ENSP00000237612	9606.ENSP00000229239	0	0	0	0	0.062	0	0	0.607	0.615
ABCG2	HNF4A	9606.ENSP00000237612	9606.ENSP00000312987	0	0	0	0	0.061	0	0	0.390	0.402
ABCG2	FN1	9606.ENSP00000237612	9606.ENSP00000346839	0	0	0	0	0	0	0	0.402	0.402
ABCG2	MAPK3	9606.ENSP00000237612	9606.ENSP00000263025	0	0	0	0	0	0.067	0	0.391	0.407
ABCG2	AR	9606.ENSP00000237612	9606.ENSP00000363822	0	0	0	0	0	0.075	0	0.391	0.412
ABCG2	PGR	9606.ENSP00000237612	9606.ENSP00000325120	0	0	0	0	0	0.075	0	0.391	0.412
ABCG2	IGF1R	9606.ENSP00000237612	9606.ENSP00000268035	0	0	0	0	0.062	0.057	0	0.392	0.415
ABCG2	ZEB1	9606.ENSP00000237612	9606.ENSP00000354487	0	0	0	0	0	0	0	0.416	0.416
ABCG2	SRC	9606.ENSP00000237612	9606.ENSP00000362680	0	0	0	0	0.062	0.057	0	0.396	0.419
ABCG2	CDC42	9606.ENSP00000237612	9606.ENSP00000383118	0	0	0	0	0	0.339	0	0.161	0.421
ABCG2	GHR	9606.ENSP00000237612	9606.ENSP00000483403	0	0	0	0	0.058	0	0	0.415	0.425
ABCG2	KRAS	9606.ENSP00000237612	9606.ENSP00000256078	0	0	0	0	0	0.094	0	0.401	0.434
ABCG2	IGF2	9606.ENSP00000237612	9606.ENSP00000391826	0	0	0	0	0.049	0	0	0.433	0.437
ABCG2	TJP1	9606.ENSP00000237612	9606.ENSP00000281537	0	0	0	0	0.065	0	0	0.427	0.441
ABCG2	HRAS	9606.ENSP00000237612	9606.ENSP00000407586	0	0	0	0	0	0.094	0	0.424	0.455
ABCG2	BCL2L1	9606.ENSP00000237612	9606.ENSP00000302564	0	0	0	0	0	0	0	0.455	0.455
ABCG2	SHH	9606.ENSP00000237612	9606.ENSP00000297261	0	0	0	0	0	0	0	0.467	0.467
ABCG2	STAT3	9606.ENSP00000237612	9606.ENSP00000264657	0	0	0	0	0	0	0	0.470	0.470
ABCG2	DICER1	9606.ENSP00000237612	9606.ENSP00000437256	0	0	0	0	0	0.368	0	0.198	0.472
ABCG2	INS	9606.ENSP00000237612	9606.ENSP00000380432	0	0	0	0	0	0	0	0.476	0.476
ABCG2	SNAI2	9606.ENSP00000237612	9606.ENSP00000380034	0	0	0	0	0	0	0	0.481	0.481
ABCG2	ITGB1	9606.ENSP00000237612	9606.ENSP00000379350	0	0	0	0	0.062	0	0	0.477	0.488
ABCG2	SLC2A4	9606.ENSP00000237612	9606.ENSP00000320935	0	0	0	0	0.063	0.056	0	0.470	0.491
ABCG2	KDR	9606.ENSP00000237612	9606.ENSP00000263923	0	0	0	0	0.065	0.076	0	0.460	0.492
ABCG2	CDH2	9606.ENSP00000237612	9606.ENSP00000269141	0	0	0	0	0	0	0	0.502	0.502
ABCG2	SLC2A1	9606.ENSP00000237612	9606.ENSP00000416293	0	0	0	0	0.063	0.056	0	0.482	0.502
ABCG2	CASP3	9606.ENSP00000237612	9606.ENSP00000311032	0	0	0	0	0.049	0	0	0.500	0.504
ABCG2	HIF1A	9606.ENSP00000237612	9606.ENSP00000437955	0	0	0	0	0	0	0	0.504	0.504
ABCG2	CXCR4	9606.ENSP00000237612	9606.ENSP00000386884	0	0	0	0	0	0	0	0.505	0.505
ABCG2	SNAI1	9606.ENSP00000237612	9606.ENSP00000244050	0	0	0	0	0	0	0	0.506	0.506
ABCG2	VEGFA	9606.ENSP00000237612	9606.ENSP00000478570	0	0	0	0	0	0	0	0.509	0.509
ABCG2	ESR1	9606.ENSP00000237612	9606.ENSP00000405330	0	0	0	0	0	0.075	0	0.517	0.534
ABCG2	FGF2	9606.ENSP00000237612	9606.ENSP00000264498	0	0	0	0	0	0	0	0.543	0.543
ABCG2	ANXA5	9606.ENSP00000237612	9606.ENSP00000296511	0	0	0	0	0	0.137	0	0.498	0.549
ABCG2	CDH1	9606.ENSP00000237612	9606.ENSP00000261769	0	0	0	0	0	0	0	0.560	0.560
ABCG2	ERBB2	9606.ENSP00000237612	9606.ENSP00000269571	0	0	0	0	0.051	0	0	0.561	0.565
